company_id,date,flow_type,amount,security,notes
C001,2018-09-30,Contribution,-10.80376410732633,Equity,Entry investment
C001,2018-09-30,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2018-12-31,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2019-03-31,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2019-06-30,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2019-09-30,Contribution,-1.1830274161119252,Equity,Follow-on / add-on
C001,2019-09-30,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2019-12-31,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2020-03-31,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2020-06-30,Contribution,-0.05401882053663166,Fee,Mgmt fee allocation (synthetic)
C001,2020-09-30,Contribution,-0.05401882053663166,Fee,Mgmt fee allocation (synthetic)
C001,2020-12-31,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2021-03-31,Contribution,-0.05401882053663165,Fee,Mgmt fee allocation (synthetic)
C001,2021-06-30,Contribution,-0.054018820536631644,Fee,Mgmt fee allocation (synthetic)
C001,2021-09-30,Distribution,193.57900245900106,Sale,Exit proceeds
C002,2019-12-31,Contribution,-4.269089289709042,Equity,Entry investment
C002,2019-12-31,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2020-03-31,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2020-06-30,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2020-09-30,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2020-12-31,Contribution,-1.1360130833597841,Equity,Follow-on / add-on
C002,2020-12-31,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2021-03-31,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2021-06-30,Contribution,-0.021345446448545205,Fee,Mgmt fee allocation (synthetic)
C002,2021-09-30,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2021-12-31,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
C002,2022-03-31,Contribution,-0.02134544644854521,Fee,Mgmt fee allocation (synthetic)
