company_id,as_of_date,current_ev,current_ebitda,ev_to_ebitda,equity_value
C001,2023-03-31,96.05120999711723,8.197340230473108,11.717362863633836,57.85869691509781
C001,2023-06-30,109.12220001100307,9.264063336721524,11.779086135827363,69.67661058090853
C001,2023-09-30,114.92723637962173,9.853992203244992,11.66301271699559,75.44080445760397
C001,2023-12-31,129.21414804725921,11.239610170979047,11.496319363539259,82.39812530605889
C001,2024-03-31,122.31086029068071,11.269799041426973,10.852976156990445,77.27497240034677
C001,2024-06-30,140.92756143655478,12.438522589182522,11.329927684427412,94.9180210319204
C001,2024-09-30,135.22599572555043,12.670378366658733,10.672609121238931,87.22419555042465
C001,2024-12-31,140.21220125234103,13.59731744140931,10.311754642525178,93.474521649914
C001,2025-03-31,155.49610904341682,14.205380924735946,10.94628224806349,107.21981882345568
C001,2025-06-30,144.0683282827785,14.904201781802856,9.666289439175292,96.28357314421275
C001,2025-09-30,166.01523725062347,15.927611285455642,10.423109547017946,115.95319883468058
C001,2025-12-31,178.5433702887846,16.950477737413035,10.533235290159656,131.71817235900042
C002,2023-03-31,129.6626131286321,11.380469088861384,11.393433092800997,76.23471740585825
C002,2023-06-30,125.90088487549839,11.27796257006893,11.163442341051226,67.25153383011775
C002,2023-09-30,137.16092623147176,12.087486585448731,11.347348786023893,79.12618682284581
C002,2023-12-31,145.86847079959117,13.258540441304671,11.00184982241057,83.96573449071616
C002,2024-03-31,162.12636385226668,14.210235815505603,11.409125503417846,101.07389376375849
C002,2024-06-30,163.39339750303205,14.45449583597304,11.303984542746441,100.55834964447584
C002,2024-09-30,168.64860103727327,15.570514222159748,10.831280112589656,108.20143212268349
C002,2024-12-31,180.12253874895796,17.03981801650506,10.570684415437313,109.02482122978009
C002,2025-03-31,206.16492191564973,18.43688946331211,11.182196559018317,131.93911904546326
C002,2025-06-30,194.86014393822867,17.605918222345412,11.067877373809019,124.63042935727488
C002,2025-09-30,224.5447310927231,19.645277221783324,11.429959911369465,155.98093003431555
C002,2025-12-31,216.6485643566814,20.09563937163379,10.78087441509793,148.7050963210005
C003,2023-03-31,110.64093421454852,11.924080004376865,9.278781606122783,45.43145887065707
C003,2023-06-30,94.15742051815157,9.9326887377995,9.479550100047867,41.097613527966
C003,2023-09-30,104.53504048848642,11.169377623047785,9.359074786117041,47.459359007341
C003,2023-12-31,104.87780704452511,11.416949459237545,9.186149717047897,45.090742995845346
C003,2024-03-31,119.16896519999845,13.037615875535748,9.140395478563791,56.38441722608897
C003,2024-06-30,128.39857856140728,13.835301105161344,9.28050481774534,63.30962724430893
C003,2024-09-30,132.12734930466078,14.632006265637251,9.030022739599092,64.37944377187041
C003,2024-12-31,118.55189052518097,12.981218581637288,9.132570242125013,59.31665738540941
C003,2025-03-31,146.1940237578468,15.455796101735235,9.458847851999902,78.36913685604094
C003,2025-06-30,141.81089968961453,15.098292890683808,9.39251216785687,82.59385569613741
C003,2025-09-30,156.2799921461108,16.338716280664944,9.565010461137073,87.06270840249952
C003,2025-12-31,134.97935703514014,15.614034516534364,8.644745654443428,73.73278577767277
C004,2023-03-31,31.409808036369302,3.1196446890884832,10.068392771212292,16.226485729680554
C004,2023-06-30,34.25290229222491,3.225959101997479,10.617897254498944,18.251969983500942
C004,2023-09-30,31.23172398294898,3.1826006506590385,9.81327141263597,15.940096060269813
C004,2023-12-31,31.850913666809735,3.2841392673539023,9.69840529706667,15.959777178242259
C004,2024-03-31,37.43164517738587,3.887447828916626,9.628848237898413,18.734773976697856
C004,2024-06-30,27.5086548656956,3.2719375394993335,8.407451100030757,13.602478433286711
C004,2024-09-30,35.75758146685996,3.953667712891313,9.044154456953713,18.11784445989139
C004,2024-12-31,36.470348532078596,3.887916100099293,9.380436098183083,19.41297059588077
C004,2025-03-31,41.569046005809895,4.391347291001926,9.4661258268019,22.27549428564929
C004,2025-06-30,41.65832372457652,4.658552724399174,8.942331704520809,21.81994917134025
C004,2025-09-30,47.07304423189762,5.179502187516506,9.088333690707145,25.991092868752958
C004,2025-12-31,39.27767888019443,4.444309701489411,8.837745683436822,20.526865079658922
C005,2023-03-31,247.14854566771993,17.363113555623325,14.234114456256428,140.58196382746377
C005,2023-06-30,241.7456463871567,17.4699091626715,13.837830760087877,139.17474480742524
C005,2023-09-30,251.3938762950997,18.219956789224934,13.797720774166217,143.86816354208707
C005,2023-12-31,261.1087544949087,18.778570044808,13.904613283752212,149.04428617307912
C005,2024-03-31,274.48621988109113,20.163592467324893,13.612962091249171,164.19125567250921
